               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11134,             0.01117,            0.032669,           0.0022982,             0.53889,           0.0028184,          0.00053185,            0.060346,           0.0059601,             0.02099,             0.00016,             0.00016,             0.09856
                   1,             0.10072,             0.01387,            0.032161,          0.00064887,                 0.2,           0.0011096,          0.00038124,            0.057376,           0.0062925,            0.020954,           0.0003297,           0.0003297,             0.09703
                   2,            0.097276,            0.014075,            0.031783,          0.00050218,                 0.2,           0.0010403,          0.00019081,            0.054036,           0.0067058,            0.020905,           0.0004991,           0.0004991,            0.095499
                   3,            0.094768,            0.014745,            0.031733,          0.00033271,             0.13333,          0.00029296,          3.4919e-05,            0.054378,           0.0067271,            0.020863,          0.00066819,          0.00066819,            0.093968
                   4,             0.09276,            0.015365,            0.031675,          0.00078225,                0.25,           0.0056771,          0.00079191,            0.054486,           0.0067359,            0.020839,          0.00083697,          0.00083697,            0.092437
                   5,            0.091418,            0.014947,             0.03155,           0.0033984,             0.77361,           0.0063698,          0.00076481,             0.05521,           0.0066869,            0.020875,           0.0010055,           0.0010055,            0.090905
                   6,            0.090963,            0.015443,            0.031394,             0.00752,             0.11389,            0.013312,            0.005262,            0.055527,           0.0066619,            0.020812,           0.0011736,           0.0011736,            0.089374
                   7,            0.090022,             0.01557,            0.031308,           0.0043755,             0.17917,           0.0050812,           0.0009298,            0.058581,             0.00688,            0.023593,           0.0013415,           0.0013415,            0.087841
                   8,            0.088646,            0.016255,            0.031226,           0.0056957,             0.28194,           0.0070763,           0.0011586,            0.063769,           0.0076358,            0.030674,            0.001509,            0.001509,            0.086309
                   9,            0.087761,               0.016,            0.031153,           0.0052432,             0.32361,           0.0065002,             0.00117,            0.065233,           0.0076171,            0.030803,           0.0016763,           0.0016763,            0.084776
                  10,            0.085741,            0.016554,            0.031138,           0.0040438,             0.10417,           0.0055547,           0.0011411,            0.067417,           0.0096008,            0.040263,           0.0018432,           0.0018432,            0.083243
                  11,            0.083925,            0.016286,            0.031023,            0.009718,            0.013889,           0.0051297,          0.00070017,            0.063695,           0.0085755,            0.034417,           0.0020099,           0.0020099,             0.08171
                  12,            0.081815,            0.016741,            0.030942,            0.024766,            0.054167,            0.017275,           0.0032714,            0.053122,           0.0073899,            0.023649,           0.0021762,           0.0021762,            0.080176
                  13,            0.078948,            0.017399,            0.030958,           0.0057179,             0.13333,           0.0093216,           0.0013211,            0.048894,           0.0076146,            0.023362,           0.0023422,           0.0023422,            0.078642
                  14,            0.077777,            0.017398,            0.030898,           0.0058319,             0.35972,           0.0070588,           0.0013409,            0.042898,           0.0080233,             0.02127,            0.002508,            0.002508,            0.077108
                  15,            0.077216,             0.01715,            0.030853,           0.0038153,               0.475,           0.0047312,          0.00077563,             0.05914,           0.0076757,            0.037188,           0.0026734,           0.0026734,            0.075573
