               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11272,            0.014727,            0.032701,          0.00091354,             0.33333,           0.0014477,          0.00030387,            0.062287,           0.0057683,            0.020996,             0.00016,             0.00016,             0.09856
                   1,              0.1038,             0.02005,            0.032141,          0.00060386,             0.16667,          0.00077601,          0.00017128,            0.059992,           0.0060559,            0.020974,           0.0003297,           0.0003297,             0.09703
                   2,             0.10061,            0.017268,             0.03196,          0.00020797,                 0.1,          0.00044793,          4.4793e-05,            0.056265,           0.0065488,            0.020917,           0.0004991,           0.0004991,            0.095499
                   3,             0.09653,            0.015567,            0.031842,          0.00017316,            0.066667,          0.00012274,          2.1834e-05,              0.0552,           0.0067117,            0.020884,          0.00066819,          0.00066819,            0.093968
                   4,            0.096017,            0.018992,            0.031677,           0.0010932,            0.083333,          0.00047033,          5.3779e-05,            0.054814,            0.006789,             0.02086,          0.00083697,          0.00083697,            0.092437
                   5,            0.094384,            0.018638,            0.031621,           0.0023393,             0.71528,           0.0030568,          0.00048711,            0.054773,           0.0068688,             0.02092,           0.0010055,           0.0010055,            0.090905
                   6,            0.094028,            0.019942,            0.031486,           0.0058028,             0.23889,           0.0053541,            0.001099,            0.057047,           0.0066911,            0.020816,           0.0011736,           0.0011736,            0.089374
                   7,            0.092762,            0.017929,            0.031348,            0.026247,            0.033333,           0.0093809,           0.0011313,            0.062357,           0.0061038,            0.020975,           0.0013415,           0.0013415,            0.087841
                   8,            0.090777,            0.017613,            0.031286,            0.010845,             0.21389,            0.011147,           0.0015741,            0.062831,           0.0061267,            0.020658,            0.001509,            0.001509,            0.086309
                   9,             0.08968,            0.015419,            0.031287,           0.0070559,             0.18333,           0.0055454,          0.00085557,            0.059784,           0.0064747,            0.020519,           0.0016763,           0.0016763,            0.084776
                  10,            0.091252,            0.021283,            0.031082,            0.004023,             0.41111,            0.006217,           0.0012511,             0.05701,           0.0068942,            0.020664,           0.0018432,           0.0018432,            0.083243
                  11,            0.089246,            0.019606,            0.030961,            0.008551,            0.077778,           0.0072527,           0.0016262,            0.053598,           0.0072981,            0.020694,           0.0020099,           0.0020099,             0.08171
                  12,            0.088419,            0.019396,            0.030935,           0.0072268,            0.091667,           0.0077612,           0.0016182,            0.052839,           0.0074509,            0.020679,           0.0021762,           0.0021762,            0.080176
