               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11833,            0.020987,            0.034896,                   0,                   0,                   0,                   0,            0.067884,            0.013366,            0.020884,             0.00013,             0.00013,             0.09883
                   1,            0.098228,            0.021501,            0.033985,                   0,                   0,                   0,                   0,            0.063958,            0.010741,            0.020652,          0.00026976,          0.00026976,             0.09757
                   2,            0.089368,            0.020101,            0.032983,                   0,                   0,                   0,                   0,             0.05988,           0.0096702,             0.02047,          0.00040926,          0.00040926,            0.096309
                   3,            0.087174,            0.019945,            0.032198,                   0,                   0,                   0,                   0,            0.057777,           0.0090174,            0.020283,          0.00054851,          0.00054851,            0.095049
                   4,            0.085518,            0.019475,            0.031907,                   0,                   0,                   0,                   0,            0.056832,           0.0085189,            0.020207,          0.00068751,          0.00068751,            0.093788
                   5,            0.082416,            0.019045,            0.031803,          0.00011174,               0.025,          6.2532e-05,          6.2532e-06,            0.059376,           0.0079018,            0.020377,          0.00082626,          0.00082626,            0.092526
                   6,             0.08333,            0.019571,            0.031801,          0.00044473,             0.11667,           0.0011887,          0.00012445,            0.058341,           0.0075789,            0.020071,          0.00096476,          0.00096476,            0.091265
                   7,            0.078968,            0.018967,            0.031629,           0.0011041,             0.25417,           0.0011192,          0.00018342,            0.062917,           0.0070497,            0.020176,            0.001103,            0.001103,            0.090003
                   8,             0.07682,            0.019435,            0.030583,           0.0027029,            0.083333,           0.0031373,          0.00088274,            0.068757,           0.0095518,            0.020568,            0.001241,            0.001241,            0.088741
                   9,            0.078491,            0.019382,             0.03118,          0.00085128,               0.125,          0.00080428,           0.0001033,            0.065964,           0.0066918,            0.020008,           0.0013787,           0.0013787,            0.087479
                  10,            0.077346,            0.019715,            0.031185,             0.00305,            0.041667,           0.0033817,          0.00043031,             0.06266,           0.0067726,            0.019475,           0.0015162,           0.0015162,            0.086216
